customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10000003,Pay with PayMaya,Dec 2020,1,3865.63,2,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000003,Bills Payment,Dec 2020,1,836,1,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000003,PAYMAYA SHOP,Dec 2020,1,3562,13,"['Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP']",3
10000010,QR,Aug 2018,1,214,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,Online Purchase,Aug 2018,1,549,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,PAYMAYA SHOP,Aug 2018,1,30,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,P2P Sending,Aug 2018,1,50,1,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000010,Instapay Sending,Aug 2018,1,140,2,"['QR', 'Online Purchase', 'PAYMAYA SHOP', 'P2P Sending', 'Instapay Sending']",5
10000039,Pay with PayMaya,Mar 2018,0,193,1,['Pay with PayMaya'],1
10000057,Instapay Sending,Nov 2019,1,8270,3,['Instapay Sending'],1
10000067,PAYMAYA SHOP,May 2021,0,932,15,['PAYMAYA SHOP'],1
10000085,PAYMAYA SHOP,Jun 2020,1,199.5,3,['PAYMAYA SHOP'],1
10000116,Bills Payment,Mar 2018,1,1012,1,['Bills Payment'],1
10000150,Pay with PayMaya,Jun 2018,1,195,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000150,Online Purchase,Jun 2018,1,194,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000150,Instapay Sending,Jun 2018,1,5130,1,"['Pay with PayMaya', 'Online Purchase', 'Instapay Sending']",3
10000183,PAYMAYA SHOP,Mar 2020,1,149,2,['PAYMAYA SHOP'],1
10000279,Instapay Sending,Jul 2016,1,500,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
10000279,Bills Payment,Jul 2016,1,8702.55,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
10000279,Pay with PayMaya,Jul 2016,1,1000,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",3
1000030,Pay with PayMaya,Jul 2017,1,4198.98,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,Instapay Sending,Jul 2017,1,2800,2,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,Online Purchase,Jul 2017,1,129,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
1000030,PAYMAYA SHOP,Jul 2017,1,600,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'PAYMAYA SHOP']",4
10000355,P2P Sending,Oct 2016,1,15000,2,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
10000355,Online Purchase,Oct 2016,1,681,1,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
10000355,Instapay Sending,Oct 2016,1,5000,1,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
10000355,Bills Payment,Oct 2016,1,7367.2,3,"['P2P Sending', 'Online Purchase', 'Instapay Sending', 'Bills Payment']",4
10000374,PAYMAYA SHOP,Aug 2021,1,130,3,"['PAYMAYA SHOP', 'P2P Sending', 'Bills Payment']",3
10000374,P2P Sending,Aug 2021,1,55,1,"['PAYMAYA SHOP', 'P2P Sending', 'Bills Payment']",3
10000374,Bills Payment,Aug 2021,1,1699,1,"['PAYMAYA SHOP', 'P2P Sending', 'Bills Payment']",3
10000389,Instapay Sending,Jan 2018,1,760,1,['Instapay Sending'],1
10000390,PAYMAYA SHOP,Feb 2020,0,20,1,['PAYMAYA SHOP'],1
10000424,P2P Sending,Nov 2018,1,40000,4,['P2P Sending'],1
10000433,P2P - Consumer to Negosyo Sending,Aug 2021,1,1800,1,['P2P - Consumer to Negosyo Sending'],1
1000045,Online Purchase,Dec 2020,1,4286.48,1,"['Online Purchase', 'Pay with PayMaya']",2
1000045,Pay with PayMaya,Dec 2020,1,18183.04,4,"['Online Purchase', 'Pay with PayMaya']",2
10000466,PAYMAYA SHOP,Mar 2020,1,1768,24,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending', 'QR']",4
10000466,Bills Payment,Mar 2020,1,19738.52,10,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending', 'QR']",4
10000466,Instapay Sending,Mar 2020,1,300,1,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending', 'QR']",4
10000466,QR,Mar 2020,1,3612.89,2,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending', 'QR']",4
1000049,P2P Sending,Jul 2018,1,560,4,"['P2P Sending', 'PAYMAYA SHOP', 'Online Purchase']",3
1000049,PAYMAYA SHOP,Jul 2018,1,410,5,"['P2P Sending', 'PAYMAYA SHOP', 'Online Purchase']",3
1000049,Online Purchase,Jul 2018,1,1083,2,"['P2P Sending', 'PAYMAYA SHOP', 'Online Purchase']",3
10000515,P2P - Consumer to Negosyo Sending,Oct 2019,1,7800,1,['P2P - Consumer to Negosyo Sending'],1
10000540,Online Purchase,Oct 2020,1,549,1,['Online Purchase'],1
10000555,PAYMAYA SHOP,Apr 2020,1,260,3,['PAYMAYA SHOP'],1
10000577,Bills Payment,Aug 2021,0,35512.5,7,['Bills Payment'],1
10000587,Instapay Sending,Sep 2019,1,2000,1,"['Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10000587,P2P Sending,Sep 2019,1,199,1,"['Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10000587,PAYMAYA SHOP,Sep 2019,1,660,7,"['Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10000587,Pay with PayMaya,Sep 2019,1,635,3,"['Instapay Sending', 'P2P Sending', 'PAYMAYA SHOP', 'Pay with PayMaya']",4
10000596,P2P - Consumer to Negosyo Sending,Jul 2021,1,445,1,['P2P - Consumer to Negosyo Sending'],1
10000689,PAYMAYA SHOP,Nov 2019,1,1700,4,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,QR,Nov 2019,1,1659.5,3,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,POS Purchase,Nov 2019,1,9286.55,4,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,ATM Withdrawal,Nov 2019,1,4518,1,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,Instapay Sending,Nov 2019,1,53250,7,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,P2P Sending,Nov 2019,1,11750,5,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000689,Bills Payment,Nov 2019,1,3291.27,2,"['PAYMAYA SHOP', 'QR', 'POS Purchase', 'ATM Withdrawal', 'Instapay Sending', 'P2P Sending', 'Bills Payment']",7
10000692,PAYMAYA SHOP,Jul 2021,1,290,5,"['PAYMAYA SHOP', 'Pay with PayMaya']",2
10000692,Pay with PayMaya,Jul 2021,1,383,1,"['PAYMAYA SHOP', 'Pay with PayMaya']",2
10000693,PAYMAYA SHOP,Oct 2020,1,3869,83,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending']",3
10000693,Bills Payment,Oct 2020,1,4798.29,8,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending']",3
10000693,Instapay Sending,Oct 2020,1,20300,4,"['PAYMAYA SHOP', 'Bills Payment', 'Instapay Sending']",3
100007,PAYMAYA SHOP,Mar 2021,1,50,1,['PAYMAYA SHOP'],1
10000707,PAYMAYA SHOP,Jul 2020,0,460,12,['PAYMAYA SHOP'],1
10000708,Online Purchase,Nov 2018,1,11559,29,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000708,PAYMAYA SHOP,Nov 2018,1,320,7,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000708,ATM Withdrawal,Nov 2018,1,2233,2,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000708,Instapay Sending,Nov 2018,1,1998,11,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000708,Bills Payment,Nov 2018,1,3000,1,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000708,Pay with PayMaya,Nov 2018,1,950,2,"['Online Purchase', 'PAYMAYA SHOP', 'ATM Withdrawal', 'Instapay Sending', 'Bills Payment', 'Pay with PayMaya']",6
10000719,Instapay Sending,May 2021,1,43,1,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya', 'PAYMAYA SHOP']",4
10000719,Bills Payment,May 2021,1,2169.57,3,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya', 'PAYMAYA SHOP']",4
10000719,Pay with PayMaya,May 2021,1,858,3,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya', 'PAYMAYA SHOP']",4
10000719,PAYMAYA SHOP,May 2021,1,330,3,"['Instapay Sending', 'Bills Payment', 'Pay with PayMaya', 'PAYMAYA SHOP']",4
10000765,Bills Payment,Jul 2020,1,3565.28,2,['Bills Payment'],1
10000773,PAYMAYA SHOP,Mar 2021,1,2729,22,"['PAYMAYA SHOP', 'Bills Payment']",2
10000773,Bills Payment,Mar 2021,1,6913,2,"['PAYMAYA SHOP', 'Bills Payment']",2
100008,P2P Sending,Dec 2017,1,90500,11,"['P2P Sending', 'Instapay Sending']",2
100008,Instapay Sending,Dec 2017,1,940,1,"['P2P Sending', 'Instapay Sending']",2
10000800,Pay with PayMaya,Aug 2017,1,398,2,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,Instapay Sending,Aug 2017,1,400,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,Online Purchase,Aug 2017,1,5028,9,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,P2P Sending,Aug 2017,1,3500,2,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,ATM Withdrawal,Aug 2017,1,9018,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,PAYMAYA SHOP,Aug 2017,1,120,3,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000800,Bills Payment,Aug 2017,1,200,1,"['Pay with PayMaya', 'Instapay Sending', 'Online Purchase', 'P2P Sending', 'ATM Withdrawal', 'PAYMAYA SHOP', 'Bills Payment']",7
10000807,Instapay Sending,Oct 2020,1,200,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
10000807,PAYMAYA SHOP,Oct 2020,1,1858,27,"['Instapay Sending', 'PAYMAYA SHOP']",2
1000081,PAYMAYA SHOP,Aug 2021,1,50,1,['PAYMAYA SHOP'],1
10000811,PAYMAYA SHOP,Jun 2019,1,1240,16,"['PAYMAYA SHOP', 'Instapay Sending']",2
10000811,Instapay Sending,Jun 2019,1,5000,1,"['PAYMAYA SHOP', 'Instapay Sending']",2
10000821,QR,Apr 2019,1,5877.31,1,"['QR', 'Online Purchase']",2
10000821,Online Purchase,Apr 2019,1,9933.4,27,"['QR', 'Online Purchase']",2
10000834,PAYMAYA SHOP,Aug 2020,1,50,1,"['PAYMAYA SHOP', 'Instapay Sending']",2
10000834,Instapay Sending,Aug 2020,1,9694,4,"['PAYMAYA SHOP', 'Instapay Sending']",2
1000084,PAYMAYA SHOP,Apr 2020,1,110,2,"['PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",3
1000084,Online Purchase,Apr 2020,1,900,3,"['PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",3
1000084,Bills Payment,Apr 2020,1,3328.47,1,"['PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",3
10000854,PAYMAYA SHOP,Apr 2020,1,318,3,['PAYMAYA SHOP'],1
10000910,Instapay Sending,Feb 2021,1,22500,3,['Instapay Sending'],1
10000931,PAYMAYA SHOP,Dec 2019,0,1060,3,['PAYMAYA SHOP'],1
10000958,PAYMAYA SHOP,May 2021,0,558,10,"['PAYMAYA SHOP', 'Bills Payment']",2
10000958,Bills Payment,May 2021,0,4373.17,2,"['PAYMAYA SHOP', 'Bills Payment']",2
10000959,PAYMAYA SHOP,Nov 2019,1,30,1,['PAYMAYA SHOP'],1
1000098,P2P - Consumer to Negosyo Sending,Jun 2018,1,3000,1,"['P2P - Consumer to Negosyo Sending', 'QR', 'P2P Sending']",3
1000098,QR,Jun 2018,1,318,1,"['P2P - Consumer to Negosyo Sending', 'QR', 'P2P Sending']",3
1000098,P2P Sending,Jun 2018,1,300,1,"['P2P - Consumer to Negosyo Sending', 'QR', 'P2P Sending']",3
1000099,Instapay Sending,Dec 2020,1,3840,1,"['Instapay Sending', 'Online Purchase', 'P2P Sending']",3
1000099,Online Purchase,Dec 2020,1,4377.45,11,"['Instapay Sending', 'Online Purchase', 'P2P Sending']",3
1000099,P2P Sending,Dec 2020,1,1390,2,"['Instapay Sending', 'Online Purchase', 'P2P Sending']",3
10001002,Instapay Sending,May 2021,1,2500,1,['Instapay Sending'],1
10001004,PAYMAYA SHOP,Aug 2021,0,629,7,"['PAYMAYA SHOP', 'Pay with PayMaya']",2
10001004,Pay with PayMaya,Aug 2021,0,458,1,"['PAYMAYA SHOP', 'Pay with PayMaya']",2
10001033,PAYMAYA SHOP,Aug 2019,0,9.5,1,['PAYMAYA SHOP'],1
10001034,Instapay Sending,Apr 2021,1,790,1,['Instapay Sending'],1
10001043,Pay with PayMaya,Mar 2021,1,1200,1,['Pay with PayMaya'],1
10001050,Pay with PayMaya,Jul 2021,0,1600,3,['Pay with PayMaya'],1
10001056,Bills Payment,Oct 2019,1,1012,1,['Bills Payment'],1
10001059,PAYMAYA SHOP,Aug 2021,0,220,2,['PAYMAYA SHOP'],1
1000108,Instapay Sending,Mar 2018,1,1345,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
1000108,PAYMAYA SHOP,Mar 2018,1,1047.5,8,"['Instapay Sending', 'PAYMAYA SHOP']",2
10001080,P2P Sending,Aug 2017,1,90200,11,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001080,Instapay Sending,Aug 2017,1,251,1,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001080,PAYMAYA SHOP,Aug 2017,1,100,1,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001106,Instapay Sending,Sep 2020,1,390,1,['Instapay Sending'],1
10001155,Pay with PayMaya,May 2021,1,50,1,"['Pay with PayMaya', 'Bills Payment']",2
10001155,Bills Payment,May 2021,1,3398,2,"['Pay with PayMaya', 'Bills Payment']",2
10001171,Online Purchase,Dec 2019,1,549,1,['Online Purchase'],1
10001174,PAYMAYA SHOP,Dec 2019,1,1230,12,"['PAYMAYA SHOP', 'Online Purchase']",2
10001174,Online Purchase,Dec 2019,1,278,2,"['PAYMAYA SHOP', 'Online Purchase']",2
10001213,Bills Payment,Dec 2020,0,1800,1,['Bills Payment'],1
10001218,PAYMAYA SHOP,Sep 2018,1,50,1,"['PAYMAYA SHOP', 'Instapay Sending']",2
10001218,Instapay Sending,Sep 2018,1,148,2,"['PAYMAYA SHOP', 'Instapay Sending']",2
10001219,Bills Payment,Jun 2020,1,2000,1,"['Bills Payment', 'Instapay Sending']",2
10001219,Instapay Sending,Jun 2020,1,1990,1,"['Bills Payment', 'Instapay Sending']",2
10001229,PAYMAYA SHOP,Mar 2018,1,40,1,['PAYMAYA SHOP'],1
10001240,P2P Sending,Oct 2015,1,1163,3,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,Pay with PayMaya,Oct 2015,1,546.88,3,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,P2P - Consumer to Negosyo Sending,Oct 2015,1,500,1,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,Bills Payment,Oct 2015,1,1299,1,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,PAYMAYA SHOP,Oct 2015,1,300,4,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,QR,Oct 2015,1,6777.83,7,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,Instapay Sending,Oct 2015,1,5879.05,5,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001240,Online Purchase,Oct 2015,1,7610.28,21,"['P2P Sending', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'PAYMAYA SHOP', 'QR', 'Instapay Sending', 'Online Purchase']",8
10001294,PAYMAYA SHOP,Aug 2020,1,0,0,['PAYMAYA SHOP'],1
10001325,Pay with PayMaya,May 2020,0,324,3,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10001325,PAYMAYA SHOP,May 2020,0,60,2,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10001343,Instapay Sending,Jul 2020,1,2177,7,"['Instapay Sending', 'PAYMAYA SHOP', 'Pay with PayMaya', 'P2P Sending']",4
10001343,PAYMAYA SHOP,Jul 2020,1,832,10,"['Instapay Sending', 'PAYMAYA SHOP', 'Pay with PayMaya', 'P2P Sending']",4
10001343,Pay with PayMaya,Jul 2020,1,15997,8,"['Instapay Sending', 'PAYMAYA SHOP', 'Pay with PayMaya', 'P2P Sending']",4
10001343,P2P Sending,Jul 2020,1,4000,1,"['Instapay Sending', 'PAYMAYA SHOP', 'Pay with PayMaya', 'P2P Sending']",4
10001355,Instapay Sending,Mar 2017,1,110,1,['Instapay Sending'],1
10001369,P2P Sending,Jan 2018,1,9,1,"['P2P Sending', 'PAYMAYA SHOP']",2
10001369,PAYMAYA SHOP,Jan 2018,1,249,3,"['P2P Sending', 'PAYMAYA SHOP']",2
1000139,P2P Sending,Jun 2017,1,6150,8,['P2P Sending'],1
10001467,Instapay Sending,Dec 2019,1,4000,1,"['Instapay Sending', 'P2P Sending', 'Online Purchase']",3
10001467,P2P Sending,Dec 2019,1,75000,8,"['Instapay Sending', 'P2P Sending', 'Online Purchase']",3
10001467,Online Purchase,Dec 2019,1,278,2,"['Instapay Sending', 'P2P Sending', 'Online Purchase']",3
10001471,Online Purchase,Nov 2018,1,194,1,"['Online Purchase', 'QR', 'Bills Payment']",3
10001471,QR,Nov 2018,1,30,1,"['Online Purchase', 'QR', 'Bills Payment']",3
10001471,Bills Payment,Nov 2018,1,100,1,"['Online Purchase', 'QR', 'Bills Payment']",3
10001477,Online Purchase,Aug 2018,1,194,1,"['Online Purchase', 'PAYMAYA SHOP']",2
10001477,PAYMAYA SHOP,Aug 2018,1,10,1,"['Online Purchase', 'PAYMAYA SHOP']",2
1000148,Bills Payment,Mar 2020,1,9764.56,4,"['Bills Payment', 'PAYMAYA SHOP']",2
1000148,PAYMAYA SHOP,Mar 2020,1,739,11,"['Bills Payment', 'PAYMAYA SHOP']",2
100015,Bills Payment,Nov 2017,1,360.11,2,"['Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP']",3
100015,Instapay Sending,Nov 2017,1,110,1,"['Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP']",3
100015,PAYMAYA SHOP,Nov 2017,1,25,2,"['Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001508,P2P Sending,Dec 2015,1,4276,5,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001508,Pay with PayMaya,Dec 2015,1,458,1,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001508,Bills Payment,Dec 2015,1,1536,3,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001508,PAYMAYA SHOP,Dec 2015,1,230,3,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001508,POS Purchase,Dec 2015,1,2858.95,2,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001508,ATM Withdrawal,Dec 2015,1,15177,10,"['P2P Sending', 'Pay with PayMaya', 'Bills Payment', 'PAYMAYA SHOP', 'POS Purchase', 'ATM Withdrawal']",6
10001525,Pay with PayMaya,Dec 2017,1,149,1,"['Pay with PayMaya', 'Instapay Sending']",2
10001525,Instapay Sending,Dec 2017,1,200,1,"['Pay with PayMaya', 'Instapay Sending']",2
10001533,Instapay Sending,Jul 2019,1,650,2,"['Instapay Sending', 'ATM Withdrawal', 'PAYMAYA SHOP']",3
10001533,ATM Withdrawal,Jul 2019,1,11558,5,"['Instapay Sending', 'ATM Withdrawal', 'PAYMAYA SHOP']",3
10001533,PAYMAYA SHOP,Jul 2019,1,75,1,"['Instapay Sending', 'ATM Withdrawal', 'PAYMAYA SHOP']",3
10001536,PAYMAYA SHOP,Dec 2019,1,300,1,['PAYMAYA SHOP'],1
10001537,Pay with PayMaya,Apr 2020,1,474,3,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001537,Instapay Sending,Apr 2020,1,170,1,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001537,PAYMAYA SHOP,Apr 2020,1,20,1,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP']",3
10001564,P2P Sending,May 2021,1,1000,1,['P2P Sending'],1
10001614,Pay with PayMaya,Jun 2019,1,660,1,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10001614,PAYMAYA SHOP,Jun 2019,1,30,1,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10001640,PAYMAYA SHOP,Jul 2021,0,45,2,['PAYMAYA SHOP'],1
10001646,QR,Feb 2021,1,4194.52,4,"['QR', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'P2P Sending']",5
10001646,Pay with PayMaya,Feb 2021,1,3833.75,4,"['QR', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'P2P Sending']",5
10001646,P2P - Consumer to Negosyo Sending,Feb 2021,1,25770,22,"['QR', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'P2P Sending']",5
10001646,Bills Payment,Feb 2021,1,34905.74,24,"['QR', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'P2P Sending']",5
10001646,P2P Sending,Feb 2021,1,1000,1,"['QR', 'Pay with PayMaya', 'P2P - Consumer to Negosyo Sending', 'Bills Payment', 'P2P Sending']",5
10001654,Online Purchase,Nov 2018,1,520.45,3,"['Online Purchase', 'Bills Payment', 'Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",5
10001654,Bills Payment,Nov 2018,1,612,1,"['Online Purchase', 'Bills Payment', 'Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",5
10001654,Instapay Sending,Nov 2018,1,30390,6,"['Online Purchase', 'Bills Payment', 'Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",5
10001654,Pay with PayMaya,Nov 2018,1,399,1,"['Online Purchase', 'Bills Payment', 'Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",5
10001654,PAYMAYA SHOP,Nov 2018,1,918,3,"['Online Purchase', 'Bills Payment', 'Instapay Sending', 'Pay with PayMaya', 'PAYMAYA SHOP']",5
10001679,Bills Payment,May 2019,1,2840,2,"['Bills Payment', 'Instapay Sending', 'ATM Withdrawal']",3
10001679,Instapay Sending,May 2019,1,26600,3,"['Bills Payment', 'Instapay Sending', 'ATM Withdrawal']",3
10001679,ATM Withdrawal,May 2019,1,20036,2,"['Bills Payment', 'Instapay Sending', 'ATM Withdrawal']",3
10001695,PAYMAYA SHOP,Jul 2021,0,50,1,['PAYMAYA SHOP'],1
10001715,Instapay Sending,Apr 2021,1,3000,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
10001715,PAYMAYA SHOP,Apr 2021,1,20,2,"['Instapay Sending', 'PAYMAYA SHOP']",2
10001722,Instapay Sending,Aug 2021,1,230,2,['Instapay Sending'],1
10001733,P2P Sending,Jul 2019,1,1100,1,['P2P Sending'],1
10001739,PAYMAYA SHOP,Jun 2021,1,300,2,"['PAYMAYA SHOP', 'QR', 'Instapay Sending', 'P2P Sending']",4
10001739,QR,Jun 2021,1,8000,1,"['PAYMAYA SHOP', 'QR', 'Instapay Sending', 'P2P Sending']",4
10001739,Instapay Sending,Jun 2021,1,5710,4,"['PAYMAYA SHOP', 'QR', 'Instapay Sending', 'P2P Sending']",4
10001739,P2P Sending,Jun 2021,1,15500,4,"['PAYMAYA SHOP', 'QR', 'Instapay Sending', 'P2P Sending']",4
10001750,Instapay Sending,May 2020,1,1990,1,['Instapay Sending'],1
10001761,PAYMAYA SHOP,Jul 2020,1,10,1,"['PAYMAYA SHOP', 'Online Purchase']",2
10001761,Online Purchase,Jul 2020,1,65,1,"['PAYMAYA SHOP', 'Online Purchase']",2
