customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10021485,PAYMAYA SHOP,May 2020,1,349,2,"['PAYMAYA SHOP', 'Bills Payment']",2
10021485,Bills Payment,May 2020,1,510,1,"['PAYMAYA SHOP', 'Bills Payment']",2
1002149,PAYMAYA SHOP,Jul 2020,1,20,1,['PAYMAYA SHOP'],1
10021496,PAYMAYA SHOP,Nov 2018,1,145,4,"['PAYMAYA SHOP', 'Instapay Sending']",2
10021496,Instapay Sending,Nov 2018,1,350,1,"['PAYMAYA SHOP', 'Instapay Sending']",2
10021499,Online Purchase,Dec 2017,1,743,2,['Online Purchase'],1
10021517,Pay with PayMaya,Aug 2021,1,1390,2,['Pay with PayMaya'],1
1002153,P2P Sending,Mar 2021,1,100000,10,"['P2P Sending', 'PAYMAYA SHOP']",2
1002153,PAYMAYA SHOP,Mar 2021,1,310,4,"['P2P Sending', 'PAYMAYA SHOP']",2
10021538,PAYMAYA SHOP,Jul 2021,0,297,3,['PAYMAYA SHOP'],1
10021570,Pay with PayMaya,Feb 2020,1,999,1,['Pay with PayMaya'],1
10021577,Instapay Sending,May 2017,1,2750,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
10021577,PAYMAYA SHOP,May 2017,1,20,1,"['Instapay Sending', 'PAYMAYA SHOP']",2
1002158,Online Purchase,Nov 2019,1,15296.98,24,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002158,QR,Nov 2019,1,7697.1,4,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002158,Bills Payment,Nov 2019,1,3149.86,4,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002158,PAYMAYA SHOP,Nov 2019,1,3948,6,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002158,P2P Sending,Nov 2019,1,600,2,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002158,POS Purchase,Nov 2019,1,5933.18,2,"['Online Purchase', 'QR', 'Bills Payment', 'PAYMAYA SHOP', 'P2P Sending', 'POS Purchase']",6
1002161,Instapay Sending,May 2018,1,50,1,['Instapay Sending'],1
10021610,PAYMAYA SHOP,Aug 2021,1,350,2,"['PAYMAYA SHOP', 'Bills Payment', 'QR', 'Instapay Sending']",4
10021610,Bills Payment,Aug 2021,1,1000,1,"['PAYMAYA SHOP', 'Bills Payment', 'QR', 'Instapay Sending']",4
10021610,QR,Aug 2021,1,7714.1,4,"['PAYMAYA SHOP', 'Bills Payment', 'QR', 'Instapay Sending']",4
10021610,Instapay Sending,Aug 2021,1,9500,7,"['PAYMAYA SHOP', 'Bills Payment', 'QR', 'Instapay Sending']",4
10021612,QR,Feb 2020,1,1993.6,2,"['QR', 'Pay with PayMaya', 'Instapay Sending', 'P2P Sending']",4
10021612,Pay with PayMaya,Feb 2020,1,259,1,"['QR', 'Pay with PayMaya', 'Instapay Sending', 'P2P Sending']",4
10021612,Instapay Sending,Feb 2020,1,97000,3,"['QR', 'Pay with PayMaya', 'Instapay Sending', 'P2P Sending']",4
10021612,P2P Sending,Feb 2020,1,23000,2,"['QR', 'Pay with PayMaya', 'Instapay Sending', 'P2P Sending']",4
10021617,P2P Sending,Apr 2018,1,2201.5,1,['P2P Sending'],1
10021619,Pay with PayMaya,Apr 2020,1,1523,1,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10021619,PAYMAYA SHOP,Apr 2020,1,90,3,"['Pay with PayMaya', 'PAYMAYA SHOP']",2
10021634,Pay with PayMaya,Nov 2019,1,1954,11,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",5
10021634,Instapay Sending,Nov 2019,1,3090,6,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",5
10021634,PAYMAYA SHOP,Nov 2019,1,1681,28,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",5
10021634,Online Purchase,Nov 2019,1,1756.84,4,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",5
10021634,Bills Payment,Nov 2019,1,2081.26,2,"['Pay with PayMaya', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'Bills Payment']",5
10021636,Instapay Sending,Jan 2019,1,40,1,['Instapay Sending'],1
10021639,P2P Sending,Apr 2020,1,20000,4,['P2P Sending'],1
