customer_number,use_case,registration_month,kyc_status,spend_volume,spend_transaction_count
10015079,Online Purchase,12/1/18 0:00,1,249.0,1
10015092,P2P Sending,12/1/19 0:00,1,300.0,1
10015092,QR,12/1/19 0:00,1,1983.89,2
10015092,POS Purchase,12/1/19 0:00,1,2802.27,6
10015092,PAYMAYA SHOP,12/1/19 0:00,1,1098.0,11
10015092,Bills Payment,12/1/19 0:00,1,7841.68,6
10015092,Online Purchase,12/1/19 0:00,1,194.0,1
1001511,P2P - Consumer to Negosyo Sending,8/1/20 0:00,1,1500.0,1
10015123,Online Purchase,2/1/18 0:00,1,2119.0,6
10015123,Instapay Sending,2/1/18 0:00,1,600.0,1
10015126,QR,6/1/20 0:00,1,172.0,1
10015126,PAYMAYA SHOP,6/1/20 0:00,1,219.0,3
10015126,P2P Sending,6/1/20 0:00,1,170.0,1
10015126,Instapay Sending,6/1/20 0:00,1,1515.0,6
10015126,Bills Payment,6/1/20 0:00,1,1512.0,1
10015126,Online Purchase,6/1/20 0:00,1,1899.0,1
10015159,Instapay Sending,6/1/21 0:00,1,500.0,1
10015164,Online Purchase,5/1/17 0:00,1,1795.88,7
10015164,PAYMAYA SHOP,5/1/17 0:00,1,715.0,5
10015167,PAYMAYA SHOP,8/1/20 0:00,0,2000.0,1
10015200,ATM Withdrawal,12/1/20 0:00,1,9568.0,5
10015200,Instapay Sending,12/1/20 0:00,1,3150.0,8
10015200,QR,12/1/20 0:00,1,75.0,1
10015210,Bills Payment,11/1/18 0:00,1,1000.0,1
1001523,Bills Payment,5/1/21 0:00,0,1720.0,1
10015233,Bills Payment,9/1/16 0:00,1,3000.0,1
10015233,Instapay Sending,9/1/16 0:00,1,130.0,1
10015237,Online Purchase,2/1/16 0:00,1,215.53,1
10015238,ATM Withdrawal,9/1/19 0:00,1,936.0,2
10015238,PAYMAYA SHOP,9/1/19 0:00,1,35.0,2
1001527,Pay with PayMaya,4/1/21 0:00,1,166.0,2
100153,Instapay Sending,2/1/21 0:00,1,500.0,1
10015338,Instapay Sending,5/1/18 0:00,1,20.0,1
10015338,Pay with PayMaya,5/1/18 0:00,1,4023.35,2
1001534,P2P Sending,12/1/18 0:00,1,6532.0,1
10015366,P2P - Consumer to Negosyo Sending,8/1/20 0:00,1,10000.0,2
10015366,Pay with PayMaya,8/1/20 0:00,1,374.0,1
10015421,Bills Payment,7/1/20 0:00,1,5321.9,2
10015421,Instapay Sending,7/1/20 0:00,1,3095.0,2
10015421,PAYMAYA SHOP,7/1/20 0:00,1,480.0,4
1001545,Online Purchase,1/1/19 0:00,1,65.0,1
1001545,Pay with PayMaya,1/1/19 0:00,1,4124.0,6
10015467,Online Purchase,12/1/17 0:00,1,913.33,3
10015467,PAYMAYA SHOP,12/1/17 0:00,1,129.0,5
10015483,Bills Payment,3/1/20 0:00,1,2000.0,1
10015483,Instapay Sending,3/1/20 0:00,1,13320.0,4
10015506,PAYMAYA SHOP,11/1/18 0:00,1,398.0,5
10015531,PAYMAYA SHOP,10/1/18 0:00,1,10.0,1
10015570,Instapay Sending,7/1/19 0:00,1,3200.0,2
10015570,Bills Payment,7/1/19 0:00,1,1560.0,2
10015570,Online Purchase,7/1/19 0:00,1,2136.0,14
10015585,Bills Payment,2/1/18 0:00,1,2024.0,2
10015585,PAYMAYA SHOP,2/1/18 0:00,1,125.0,2
10015585,Online Purchase,2/1/18 0:00,1,1867.0,6
10015585,QR,2/1/18 0:00,1,214.0,1
10015585,Instapay Sending,2/1/18 0:00,1,500.0,1
10015623,Online Purchase,9/1/17 0:00,1,549.0,1
10015656,Instapay Sending,10/1/19 0:00,1,760.0,2
10015656,PAYMAYA SHOP,10/1/19 0:00,1,90.0,1
10015661,Instapay Sending,4/1/20 0:00,1,3000.0,1
10015661,PAYMAYA SHOP,4/1/20 0:00,1,500.0,1
10015661,ATM Withdrawal,4/1/20 0:00,1,3218.0,1
10015661,Pay with PayMaya,4/1/20 0:00,1,8713.2,4
10015661,P2P - Consumer to Negosyo Sending,4/1/20 0:00,1,7000.0,5
10015678,P2P Sending,2/1/21 0:00,1,60.0,1
10015678,Instapay Sending,2/1/21 0:00,1,9310.0,7
10015678,PAYMAYA SHOP,2/1/21 0:00,1,800.0,15
10015678,Pay with PayMaya,2/1/21 0:00,1,249.0,1
10015702,PAYMAYA SHOP,12/1/19 0:00,1,70.0,1
10015702,Instapay Sending,12/1/19 0:00,1,1990.0,1
10015702,Bills Payment,12/1/19 0:00,1,1741.0,1
10015722,Bills Payment,5/1/20 0:00,1,9547.0,1
10015722,Pay with PayMaya,5/1/20 0:00,1,705.0,1
10015724,Bills Payment,7/1/21 0:00,0,27.74,1
10015726,Online Purchase,7/1/16 0:00,1,1737.9,2
10015726,PAYMAYA SHOP,7/1/16 0:00,1,90.0,1
10015728,PAYMAYA SHOP,7/1/20 0:00,0,400.0,2
10015731,PAYMAYA SHOP,9/1/20 0:00,1,119.0,2
10015744,PAYMAYA SHOP,5/1/21 0:00,1,500.0,3
10015749,PAYMAYA SHOP,6/1/19 0:00,0,560.0,2
10015767,PAYMAYA SHOP,11/1/19 0:00,1,15.0,1
10015777,P2P Sending,9/1/19 0:00,1,40.0,1
10015777,PAYMAYA SHOP,9/1/19 0:00,1,464.0,5
10015777,Bills Payment,9/1/19 0:00,1,510.0,1
10015826,PAYMAYA SHOP,8/1/21 0:00,0,645.0,7
10015828,Instapay Sending,7/1/17 0:00,1,10500.0,1
10015838,Bills Payment,3/1/21 0:00,0,4395.04,4
10015838,PAYMAYA SHOP,3/1/21 0:00,0,450.0,2
10015846,ATM Withdrawal,12/1/20 0:00,1,3618.0,1
10015847,P2P Sending,7/1/20 0:00,1,300.0,1
10015869,PAYMAYA SHOP,5/1/17 0:00,1,199.0,1
1001587,Instapay Sending,5/1/21 0:00,1,1000.0,1
10015886,Instapay Sending,5/1/20 0:00,1,105.0,1
10015886,PAYMAYA SHOP,5/1/20 0:00,1,190.0,5
10015898,Online Purchase,1/1/16 0:00,1,149.0,1
10015898,PAYMAYA SHOP,1/1/16 0:00,1,285.0,1
10015898,Bills Payment,1/1/16 0:00,1,14200.0,1
10015898,P2P Sending,1/1/16 0:00,1,50.0,1
10015915,PAYMAYA SHOP,9/1/17 0:00,1,200.0,3
10015915,Bills Payment,9/1/17 0:00,1,4149.0,2
10015915,Instapay Sending,9/1/17 0:00,1,14000.0,3
10015915,Online Purchase,9/1/17 0:00,1,7386.93,13
10015922,Online Purchase,11/1/20 0:00,1,229.0,2
10015922,PAYMAYA SHOP,11/1/20 0:00,1,30.0,1
10015939,P2P Sending,12/1/16 0:00,1,100000.0,10
10015951,Bills Payment,4/1/20 0:00,1,8154.0,2
10015951,PAYMAYA SHOP,4/1/20 0:00,1,130.0,2
10015990,PAYMAYA SHOP,11/1/19 0:00,1,280.0,4
10015990,Online Purchase,11/1/19 0:00,1,261.0,1
10015994,Pay with PayMaya,4/1/21 0:00,1,1224.0,3
10016002,PAYMAYA SHOP,6/1/20 0:00,0,279.0,3
10016025,P2P Sending,8/1/21 0:00,1,50.0,1
10016025,QR,8/1/21 0:00,1,50.0,1
10016046,PAYMAYA SHOP,5/1/21 0:00,0,10.0,1
10016047,PAYMAYA SHOP,10/1/20 0:00,0,4928.0,102
10016058,PAYMAYA SHOP,4/1/20 0:00,1,75.0,1
10016079,Online Purchase,11/1/17 0:00,0,199.0,1
10016086,P2P Sending,7/1/21 0:00,1,50.0,1
10016092,Bills Payment,2/1/20 0:00,1,6007.0,1
10016116,PAYMAYA SHOP,12/1/20 0:00,1,350.0,2
10016124,Pay with PayMaya,5/1/18 0:00,0,130.0,3
10016124,PAYMAYA SHOP,5/1/18 0:00,0,120.0,6
10016148,Bills Payment,6/1/19 0:00,1,6108.0,4
10016148,Online Purchase,6/1/19 0:00,1,2386.0,12
10016148,Instapay Sending,6/1/19 0:00,1,1000.0,1
10016148,PAYMAYA SHOP,6/1/19 0:00,1,249.0,3
10016168,Pay with PayMaya,6/1/18 0:00,1,1077.0,2
10016168,PAYMAYA SHOP,6/1/18 0:00,1,20.0,1
10016189,PAYMAYA SHOP,4/1/20 0:00,1,90.0,6
10016189,Bills Payment,4/1/20 0:00,1,1900.0,1
10016195,P2P - Consumer to Negosyo Sending,10/1/20 0:00,1,1500.0,2
1001620,PAYMAYA SHOP,6/1/20 0:00,0,100.0,2
10016226,P2P Sending,2/1/21 0:00,1,10.0,1
10016240,Instapay Sending,5/1/21 0:00,1,100.0,1
10016240,Bills Payment,5/1/21 0:00,1,7011.75,4
10016240,Online Purchase,5/1/21 0:00,1,88.5,1
10016287,PAYMAYA SHOP,4/1/20 0:00,1,30.0,3
10016287,P2P Sending,4/1/20 0:00,1,50.0,1
10016287,P2P - Consumer to Negosyo Sending,4/1/20 0:00,1,4500.0,3
10016294,Online Purchase,7/1/20 0:00,1,2979.95,13
10016307,PAYMAYA SHOP,7/1/17 0:00,1,2627.0,17
10016307,QR,7/1/17 0:00,1,149.0,1
10016318,PAYMAYA SHOP,5/1/19 0:00,0,50.0,1
10016348,Bills Payment,2/1/16 0:00,1,5963.76,1
10016348,PAYMAYA SHOP,2/1/16 0:00,1,918.0,8
10016348,Online Purchase,2/1/16 0:00,1,2304.11,5
10016348,Instapay Sending,2/1/16 0:00,1,20000.0,1
10016348,Pay with PayMaya,2/1/16 0:00,1,3199.0,3
10016426,PAYMAYA SHOP,2/1/20 0:00,1,30.0,1
10016426,Pay with PayMaya,2/1/20 0:00,1,20.0,1
10016426,Bills Payment,2/1/20 0:00,1,510.0,1
10016463,QR,1/1/19 0:00,1,128.25,2
10016463,Bills Payment,1/1/19 0:00,1,3200.0,1
10016463,Instapay Sending,1/1/19 0:00,1,250.0,1
10016470,Bills Payment,7/1/21 0:00,1,1000.0,1
10016470,P2P Sending,7/1/21 0:00,1,500.0,1
10016478,PAYMAYA SHOP,6/1/20 0:00,0,1306.0,20
10016480,Online Purchase,4/1/20 0:00,1,549.0,1
10016480,Instapay Sending,4/1/20 0:00,1,1990.0,1
1001649,Instapay Sending,3/1/18 0:00,1,70.0,1
100165,QR,8/1/21 0:00,0,600.0,2
100165,Pay with PayMaya,8/1/21 0:00,0,1922.0,6
10016554,Bills Payment,4/1/20 0:00,1,14663.75,6
10016554,PAYMAYA SHOP,4/1/20 0:00,1,4116.0,32
10016566,PAYMAYA SHOP,8/1/20 0:00,1,339.0,6
10016566,Instapay Sending,8/1/20 0:00,1,20.0,1
10016576,P2P Sending,5/1/19 0:00,1,9215.0,8
10016576,Bills Payment,5/1/19 0:00,1,1884.0,1
10016576,PAYMAYA SHOP,5/1/19 0:00,1,3210.0,18
10016576,ATM Withdrawal,5/1/19 0:00,1,5240.0,6
10016576,Instapay Sending,5/1/19 0:00,1,20.0,1
10016587,Bills Payment,4/1/20 0:00,1,5000.0,1
10016587,Instapay Sending,4/1/20 0:00,1,500.0,1
10016607,PAYMAYA SHOP,2/1/19 0:00,1,100.0,4
